sorprender, to surprise,V,,transitive,
arrestar,to arrest,V,,,
la muchacha,"female equivalent of muchacho; girl, young lady",N,f,,
el rollo,"<ul>  <li>nonsense, tosh, vibes, feeling, affair</li>  <li>fuckbuddy, reel, fling, hookup, thing (a short casual sexual relationship)</li>  <li>fuck, shag, coil, roll, boring talk</li></ul>",N,m,,
la sabiduría,"wisdom, learning; knowledge",N,f,,
encender,"<ul>  <li>to turn on, switch on, power up</li>  <li>to light, ignite</li></ul>",V,,,
funeral,"funerary, funeral, funeral",Adj,,,"funerario, fúnebre"
"sordo, sorda","<ul>  <li>dull, deaf, dull, muted, deaf person</li>  <li>voiceless</li></ul>",Adj,,,
"reverendo, reverenda","reverend, revered, massive, veritable, utter (intensifier)",Adj,,,
la violación,"violation, rape",N,f,,
coger,"<ul>  <li>to board (means of transportation)</li>  <li>to pick, harvest, fish</li>  <li>to take, catch, hold, get, seize</li>  <li>to imitate, learn, seize, arrest; overtake</li>  <li>to have sex, fuck, bang</li>  <li>to turn (when driving or walking)</li>  <li>to choose (a direction, route, when driving or walking)</li>  <li>to get, to collect</li></ul>",V,,,"agarrarse, tomar, prender, asir"
el punto,"<ul>  <li>punto, Spanish point (a traditional small unit of length, equivalent to about 0.16 mm)</li>  <li>bombshell, that's it!, stitch (a single pass of a needle in sewing or surgery suture)</li>  <li>point (a full stop or period)</li>  <li>point (a decimal mark), point</li></ul>",N,m,grammar,
rentar,"<ul>  <li>to be worth it, be worthwhile</li>  <li>to rent</li></ul>",V,,,"alquilar, arrendar"
la pistola,"pistol, handgun, gun",N,f,,
el crimen,violent crime,N,m,,
"gracioso, graciosa","<ul>  <li>silly, joker, gracioso (bawdy clown or jester in 16th-century Spanish comedy)</li>  <li>funny, amusing, pleasing, facetious, cute</li>  <li>cute, rich, annoying, graceless, graceful</li></ul>",Adj,,,
decente,"inflection of decentar:, decent, clean, tidy",Adj,,,
el entrenamiento,"training, workout",N,m,,
ocurrir,"to come up with, happen, occur",V,,impersonal,"pasar, suceder"
la identificación,identification,N,f,,
el alcalde,"mayor, an official such as an administrator, mayor, or judge",N,m,," intendente, edil"
la bruja,"<ul>  <li>northern potoo (Nyctibius jamaicensis), crone, hag</li>  <li>knifetooth dogfish, witch, sorceress, owl</li>  <li>specifically, a Wiccan</li></ul>",N,f,,"hechicera, maga"
intercambiar," to interchange, to exchange",V,,transitive,
divertir,"<ul>  <li>to entertain, divert, distract</li>  <li>to amuse oneself, have fun</li></ul>",V,,transitive,
el camino,"path, road, way, route",N,m,,"vía, ruta"
la rutina,"grind, routine",N,f,,
el turno,"<ul>  <li>turn (chance to use shared in sequence with others)</li>  <li>appointment, shift, emergency service, turn</li>  <li>duty, guard</li></ul>",N,m,something,
el/la representante,representative,N,m/f,,
la fortaleza,"fortitude, fortress, strength, firmness",N,f,,
equipar,<ul>  <li>to equip (to equip oneself with (an item); bring (equipment) into active use)</li>  <li>to equip (to dress up; array; clothe)</li>  <li>to equip (to furnish for service)</li></ul>,V,,transitive,
"pacífico, pacífica",peaceful,Adj,,,
la secretaria,female equivalent of secretario ,N,f,“secretary”,
la pirámide,pyramid,N,f,,
cascar,"<ul>  <li>to crack, split, slap (a fine on someone)</li>  <li>to hit, wank, snuff it (die)</li>  <li>(informal) to chatter</li></ul>",V,,,
el auxilio,"aid, help",N,m,,
atrever,"to embolden, to dare",V,,obsolete,
"bravo, brava","<ul>  <li>agitated, angry, furious, bold, courageous</li>  <li>good, excellent, skilful, capable, clever, fine</li>  <li>wild</li></ul>",Adj,,,"enojado, enfadado, fiero, mañoso"
el registro,"<ul>  <li>roll, register, logbook, log, record; personal best</li>  <li>register, register (of voice), entry</li>  <li>recording, search, registration, record</li></ul>",N,m,,
"lento, lenta",slow,Adj,,,
la multitud,"crowd, a lot, loads, multitude",N,f,,
la evidencia,evidence,N,f,,
francamente,frankly,Adv,,,
el episodio,"episode, attack",N,m,medicine,
la función,"showing, function, a function; a subroutine, method, or procedure which returns an output value and may accept input values",N,f,,
prohibir," to forbid, prohibit, enjoin",V,,transitive,"desautorizar, inhibir, interdecir, ilegitimar, no permitir"
enfrente,"in front of, across from, opposite, facing",Adv,,,
la graduación,graduation,N,f,,
atrapar,"to catch, get, capture",V,,,
la objeción,objection,N,f,,
la lana,"cash, money, dough, wool",N,f,,
horrible,horrible,Adj,,,
el tribunal,"court, tribunal",N,m,,
el maricón,"<ul>  <li>asshole, coward, irresponsible husband or father (mean or rude person)</li>  <li>coward, homosexual man, queer, faggot, fairy, effeminate man or boy, sissy</li></ul>",N,m,derogatory,"flojo, cobarde, cagado, blandengue"
tardar,"<ul>  <li>to delay, be late</li>  <li>to last</li></ul>",V,,,
el gobernador,"governor, governing",N,m,,
freír,to fry,V,,,
el gimnasio," gym, gymnasium (a room or building equipped for indoor sports)",N,m,exercise,
la bendición,"baby, blessing",N,f,,
el/la dentista,dentist,N,m/f,,
el estado,"<ul>  <li>Alternative letter-case form of Estado (“state, a territory with a formally recognized sovereign government; administration, its government”)</li>  <li>country, land, estado, Spanish fathom (a traditional unit of length equivalent to about 167 cm)</li>  <li>state, state, status</li></ul>",N,m,proscribed,
la mami,"<ul>  <li>mommy, a homosexual man, a woman who runs a brothel; a madame</li>  <li>a term of affection for a woman</li>  <li>attractive woman; momma, mother</li></ul>",N,f,informal,
"maravilloso, maravillosa","wonderful, marvelous",Adj,,,
la oscuridad,"obscurity, darkness",N,f,,
la magia,"spell, charm, conjuration, magic, wizardry (skill, ability)",N,f,,
la instrucción,instruction,N,f,,
apreciar,"<ul>  <li>to appreciate (to increase in value)</li>  <li>to notice, detect, appreciate (to view as valuable)</li></ul>",V,,transitive,
estelar,"stellar, extraordinary, outstanding, star; stellar (of or relating to stars)",Adj,,relational,
el deporte,sport,N,m,,
pequeña,feminine singular of pequeño,Adj,,,
la energía, energy,N,f,physics,
la cabaña,"<ul>  <li>all the livestock of a farm, ranch, region, or country</li>  <li>cabin, cottage, hut</li></ul>",N,f,,
ordenar,"<ul>  <li>to order, enjoin, ordain</li>  <li>to sort, sort through, sort out, collect</li></ul>",V,,,
la capa,"<ul>  <li>guise; pretext, coat, sheet, cloak, cape</li>  <li>layer</li></ul>",N,f,,
